Date,Description,Amount
2025-01-01,Netflix,-706
2025-01-01,Bus,-63
2025-01-01,Groceries,-3414
2025-01-02,Petrol,-1777
2025-01-02,Amazon,-1538
2025-01-03,Restaurant,-2091
2025-01-03,Interest,334
2025-01-04,Swiggy,-458
2025-01-07,Amazon,-2279
2025-01-09,Salary,48070
2025-01-09,Spotify,-281
2025-01-09,Spotify,-197
2025-01-10,Zomato,-290
2025-01-12,Cashback,243
2025-01-12,Water Bill,-714
2025-01-12,Interest,566
2025-01-13,Internet,-1112
2025-01-14,Swiggy,-267
2025-01-15,Salary Bonus,14571
2025-01-16,Water Bill,-1131
2025-01-16,Amazon,-1896
2025-01-17,Spotify,-294
2025-01-17,Groceries,-2937
2025-01-19,Metro,-196
2025-01-19,Cashback,343
2025-01-20,Cashback,166
2025-01-20,Cashback,482
2025-01-21,Metro,-175
2025-01-21,Shopping,-7842
2025-01-21,Amazon,-4439
2025-01-22,Rent,-14489
2025-01-23,Coffee,-134
2025-01-24,Groceries,-4104
2025-01-24,Salary Bonus,6796
2025-01-24,Water Bill,-512
2025-01-25,Interest,982
2025-01-26,Salary Bonus,11596
2025-01-26,Groceries,-3362
2025-01-27,Uber,-330
2025-01-28,Medical,-2604
2025-01-29,Petrol,-1741
2025-01-29,Netflix,-554
2025-01-30,Groceries,-816
2025-01-30,Coffee,-239
2025-01-30,Zomato,-334
2025-01-31,Water Bill,-970
2025-02-02,Uber,-114
2025-02-02,Shopping,-2516
2025-02-03,Interest,714
2025-02-04,Restaurant,-325
2025-02-04,Restaurant,-1756
2025-02-05,Freelance,4679
2025-02-05,Uber,-364
2025-02-06,Internet,-1358
2025-02-08,Metro,-241
2025-02-09,Electricity Bill,-2285
2025-02-09,Rent,-16690
2025-02-09,Internet,-1212
2025-02-09,Water Bill,-315
2025-02-10,Restaurant,-2487
2025-02-10,Salary Bonus,13320
2025-02-10,Freelance,10777
2025-02-11,Restaurant,-946
2025-02-11,Amazon,-1623
2025-02-11,Freelance,10239
2025-02-12,Medical,-1511
2025-02-12,Restaurant,-1978
2025-02-13,Interest,273
2025-02-15,Cashback,285
2025-02-16,Internet,-1027
2025-02-19,Cashback,376
2025-02-19,Groceries,-3156
2025-02-19,Electricity Bill,-1304
2025-02-20,Cashback,352
2025-02-20,Uber,-575
2025-02-22,Interest,640
2025-02-22,Medical,-1905
2025-02-23,Medical,-282
2025-02-24,Swiggy,-276
2025-02-24,Rent,-13911
2025-02-24,Metro,-57
2025-02-25,Water Bill,-683
2025-02-25,Spotify,-273
2025-02-25,Salary Bonus,14489
2025-02-26,Electricity Bill,-1615
2025-02-26,Restaurant,-1361
2025-02-26,Uber,-95
2025-02-27,Salary,66627
2025-02-27,Rent,-17438
2025-03-02,Internet,-1157
2025-03-03,Salary Bonus,8946
2025-03-03,Internet,-1050
2025-03-03,Internet,-1095
2025-03-04,Shopping,-1385
2025-03-04,Uber,-595
2025-03-05,Coffee,-330
2025-03-05,Electricity Bill,-3417
2025-03-05,Rent,-15729
2025-03-05,Zomato,-433
2025-03-05,Freelance,11830
2025-03-05,Swiggy,-247
2025-03-06,Metro,-30
2025-03-08,Amazon,-2826
2025-03-09,Freelance,10019
2025-03-09,Salary Bonus,12527
2025-03-09,Bus,-155
2025-03-10,Amazon,-4115
2025-03-10,Swiggy,-484
2025-03-10,Rent,-15214
2025-03-11,Rent,-12363
2025-03-12,Water Bill,-972
2025-03-12,Salary Bonus,5058
2025-03-13,Swiggy,-415
2025-03-13,Medical,-2467
2025-03-14,Bus,-31
2025-03-15,Luxury Watch,-95000
2025-03-16,Swiggy,-462
2025-03-18,Rent,-13842
2025-03-18,Bus,-121
2025-03-19,Movie,-231
2025-03-20,Petrol,-2837
2025-03-21,Water Bill,-375
2025-03-22,Internet,-1291
2025-03-22,Interest,355
2025-03-23,Metro,-230
2025-03-24,Restaurant,-691
2025-03-24,Shopping,-7841
2025-03-25,Spotify,-202
2025-03-25,Salary Bonus,8752
2025-03-25,Electricity Bill,-1638
2025-03-26,Salary,48779
2025-03-27,Uber,-332
2025-03-28,Zomato,-646
2025-03-29,Internet,-1341
2025-03-31,Rent,-13827
2025-03-31,Netflix,-766
2025-03-31,Swiggy,-450
2025-04-01,Medical,-1817
2025-04-01,Electricity Bill,-2407
2025-04-02,Petrol,-528
2025-04-02,Electricity Bill,-2478
2025-04-04,Medical,-3214
2025-04-04,Amazon,-1968
2025-04-05,Coffee,-275
2025-04-05,Netflix,-838
2025-04-06,Amazon,-582
2025-04-08,Salary Bonus,12711
2025-04-09,Cashback,98
2025-04-09,Shopping,-4727
2025-04-10,Spotify,-128
2025-04-10,Medical,-1296
2025-04-11,Coffee,-337
2025-04-12,Rent,-14242
2025-04-13,Interest,864
2025-04-13,Interest,1198
2025-04-14,Metro,-37
2025-04-14,Cashback,171
2025-04-14,Zomato,-317
2025-04-15,Spotify,-161
2025-04-15,Electricity Bill,-3114
2025-04-16,Interest,608
2025-04-17,Rent,-13285
2025-04-18,Interest,876
2025-04-20,Metro,-136
2025-04-21,Uber,-558
2025-04-22,Unknown Transfer,-45000
2025-04-22,Petrol,-1716
2025-04-22,Movie,-377
2025-04-22,Shopping,-7763
2025-04-23,Bus,-85
2025-04-23,Metro,-70
